,period_end_date,revenue,gross_profit,rnd,operating_income,eps_diluted,shares_diluted,total_opex,total_current_assets,total_assets,accounts_payable,st_debt,total_current_liabilities,lt_debt,total_liabilities,total_equity,total_liabilities_and_equity,book_value,tangible_book_value,cfo_net_income,cf_cfo,cf_cfi,cf_cff,fcf,roa,roe,roic,roce,rotce,gross_margin,operating_margin,net_income_margin,fcf_margin,assets_to_equity,equity_to_assets,debt_to_equity,debt_to_assets,book_value_per_share,tangible_book_per_share,revenue_per_share,operating_income_per_share,fcf_per_share,revenue_growth,operating_income_growth,net_income_growth,eps_diluted_growth,shares_diluted_growth,total_assets_growth,total_equity_growth,fcf_growth,market_cap,period_end_price,price_to_fcf,price_to_earnings,price_to_book,price_to_tangible_book,price_to_sales,intangible_assets,goodwill,shares_eop,dividends
ABNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNB,2018-12,0,0,0,0,-0.03,530945000,0,5874532000,6613089000,70630000,0,3736010000,0,7130397000,-517308000,6613089000,-517308000,-835925000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.7836,-0.0782,0,0,-0.9743,-1.5744,0,0,0,0,0,0,0.7611,0.0177,0,0,0,0,0,0,0,0,0,0,28757000,289860000,530945000,0
ABNB,2019-12,1106796000,813178000,282899000,-327939000,-0.66,530945000,1141117000,6561443000,8310119000,151417000,0,5233764000,0,9117804000,-807685000,8310119000,-807685000,-1562685000,-351538000,-196374000,-297066000,170381000,-222548000,-0.1884,2.1225,2.9803,-0.4406,-0.5376,0.7347,-0.2962,-0.3176,-0.201,-10.2888,-0.0971,-0.4721,0.0458,-1.5212,-2.9432,2.0845,-0.6176,-0.4191,0,0,0,-19.6875,0,0.2566,-0.5613,0,0,0,0,0,0,0,0,102910000,652090000,530945000,0
ABNB,2020-03,841830000,564058000,258819000,-325489000,-0.64,530945000,889547000,0,0,0,0,0,0,0,0,0,0,0,-340605000,-569830000,2259000,-339202000,-585497000,-0.3278,3.3736,6.3916,-0.8464,-1.1217,0.67,-0.3866,-0.4046,-0.6955,0,0,0,0,0,0,1.5855,-0.613,-1.1027,-0.2393,0.0074,0.0311,0.0302,0,-1,1,-1.6308,0,0,0,0,0,0,0,0,0,530945000,0
ABNB,2020-06,334774000,173576000,217938000,-468974000,-1.08,530945000,642550000,0,0,0,0,0,0,0,0,0,0,0,-575588000,-256462000,-581070000,2543390000,-262648000,0,0,0,0,0,0.5184,-1.4008,-1.7193,-0.7845,0,0,0,0,0,0,0.6305,-0.8832,-0.4946,0,0,0,-7.0895,0.0177,0,0,0,0,0,0,0,0,0,0,0,0,596399000,0
ABNB,2020-09,1342331000,1115006000,213920000,441465000,0.36,596399000,673541000,7212208000,8728479000,45972000,0,5918050000,1811302000,8407255000,321224000,8728479000,321224000,-407109000,219328000,335670000,-237293000,-1029981000,328034000,-0.2402,-6.5275,-0.8345,-0.4845,-0.654,0.8306,0.3288,0.1633,0.2443,27.1725,0.0368,6.8219,0.251,0.5386,-0.6826,2.2507,0.7402,0.55,0,0,0,12.5,0.1232,0.3198,1.6209,0,0,0,0,0,0,0,0,74563000,653770000,596399000,0
ABNB,2020-12,859264000,649517000,2062195000,-3085794000,-11.24,599197000,3735311000,8916386000,10491499000,79898000,26755000,5139779000,1815562000,7589716000,2901783000,10491499000,2901783000,2170096000,-3887851000,-139110000,895694000,1766607000,-146992000,-0.477,-2.8449,-1.1927,-0.8398,-1.022,0.7558,-3.5912,-4.5246,-0.171,3.6155,0.2765,0.7833,0.2166,4.8427,3.6216,1.434,-5.1498,-0.2453,-0.2236,-8.4096,-10.0595,-15.9788,0.1285,0.2624,4.5927,0.3395,87962119600,146.8,-131.8568,-19.1859,30.3131,40.5337,26.0381,75887000,655800000,599197000,0
ABNB,2021-03,886936000,632421000,363061000,-334963000,-1.95,600960000,967384000,10926641000,12339077000,116688000,0,6573192000,1979398000,9179654000,3159423000,12339077000,3159423000,2436081000,-1172211000,494368000,-1172286000,1567534000,486662000,-0.4744,-1.7872,-1.0089,-0.6188,-0.7117,0.713,-0.3776,-1.3216,0.5487,3.9054,0.256,0.7603,0.1946,5.2572,4.0536,1.4758,-0.5573,0.8098,0.0535,-0.0291,-2.4415,-2.0373,0.1318,0,0,1.8311,116007280580,187.94,286.3981,-21.418,36.7178,47.6204,33.8875,69322000,654020000,617257000,0
ABNB,2021-06,1335196000,1040769000,349734000,-50716000,-0.11,611739000,1091485000,14095982000,15484810000,97669000,0,9496350000,1980455000,12091609000,3393201000,15484810000,3393201000,2674994000,-68217000,791299000,325516000,2333538000,783647000,-0.3528,-1.4983,-0.8652,-0.5155,-0.5876,0.7794,-0.0379,-0.051,0.5869,4.5634,0.2191,0.7051,0.1545,5.5468,4.3727,2.1826,-0.0829,1.281,2.9883,0.8918,0.8814,0.8985,0.1521,0,0,3.9836,94794578840,153.14,65.3147,-19.3105,27.9366,35.4373,21.4286,63657000,654550000,619006000,0
ABNB,2021-09,2237432000,1925852000,344410000,851508000,1.22,681916000,1074344000,12220917000,13582003000,97093000,0,6559314000,1981496000,9133069000,4448934000,13582003000,4448934000,3737314000,833893000,523178000,-175749000,-2323426000,517672000,-0.2954,-1.0952,-0.6816,-0.4027,-0.4524,0.8607,0.3805,0.3727,0.2313,3.0528,0.3275,0.5316,0.1741,6.5241,5.4806,3.281,1.2486,0.7591,0.6668,0.9288,2.802,2.3152,0.1433,0.556,12.8499,0.5781,104957652250,167.75,63.9599,-24.4406,23.5916,28.0837,19.7332,57980000,653640000,625679000,0
ABNB,2021-12,1532196000,1236885000,367843000,76337000,0.08,680896000,1160548000,12386380000,13708474000,118361000,0,6359282000,1982537000,8932761000,4775713000,13708474000,4775713000,4070803000,54501000,380849000,-329436000,-146487000,376391000,-0.0257,-0.0763,-0.0504,0.0754,0.0836,0.8072,0.0498,0.0355,0.2456,2.8704,0.3483,0.4931,0.1717,7.0138,5.9785,2.2502,0.1121,0.5527,0.7831,1.0247,1.014,1.0071,0.1363,0.3066,0.6457,3.5606,105785914610,166.49,48.876,-300.4991,22.1508,25.9864,17.6552,52310000,652600000,635389000,0
ADSK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSK,2003-04,210766000,173815000,47392000,6607000,0.03,226892000,167208000,435843000,872463000,43966000,0,310265000,0,313125000,559338000,872463000,559338000,371471000,7508000,17290000,-7305000,-17989000,13207000,0.0247,0.0385,0.0385,0.0611,0.0876,0.8246,0.0313,0.0356,0.0626,1.5598,0.6411,0,0,2.4652,1.6372,0.9289,0.0291,0.0582,-0.0809,-0.7093,-0.5744,-0.5333,-0.0418,-0.0614,-0.0707,1.4904,1766060000,7.78,30.4309,81.1198,3.1574,4.7542,2.19,187867000,0,227000000,0.015
ADSK,2003-07,211705000,175659000,49664000,13941000,0.14,226920000,161718000,495061000,916113000,47238000,0,332353000,0,335292000,580821000,916113000,580821000,420591000,32602000,30270000,20577000,-12884000,20488000,0.0476,0.0747,0.0747,0.0602,0.0865,0.8297,0.0658,0.1539,0.0967,1.5772,0.634,0,0,2.5595,1.8534,0.9329,0.0614,0.0902,0.0014,-0.0132,1.7722,1.9,-0.0071,-0.002,-0.0143,1.1437,1665072000,7.46,24.1433,39.0742,2.8667,3.9588,2.064,160230000,0,223200000,0.015
